id,date,text,permalink,brand
923516941721128960,2017-10-26 13:49,xiaomi mi mix 2 review  phone performance  pricing design https  wwwpridenewscoza20171026xiaomimimix2reviewaphoneforperformancepricinganddesign …,https://twitter.com/pridenewsza/status/923516941721128960,Xiaomi
923471205679673344,2017-10-26 10:47,http  israelopadeyicom  wealth tech digest xiaomi announce new phone series india november 2 xiaomi indi  pictwittercomyoilju57pj,https://twitter.com/israelopadeyi/status/923471205679673344,Xiaomi
923430693933170688,2017-10-26 08:06,business idea  fake xiaomi phones call naomi ,https://twitter.com/scaryhairyman/status/923430693933170688,Xiaomi
923376030357819393,2017-10-26 04:29,added video  youtube playlist http  youtubeopappso6du  xiaomi redmi 4x unboxing review budget phone 2017,https://twitter.com/waleed_1234/status/923376030357819393,Xiaomi
923361933264289792,2017-10-26 03:33,mi a1 unboxing first impression xiaomi a1 android one phone unboxing overview   http  youtubecimom4xyvg  via  youtub,https://twitter.com/heyinayak/status/923361933264289792,Xiaomi
923361103589138432,2017-10-26 03:30,added video  youtube playlist http  youtubecimom4xyvg  mi a1 unboxing first impression xiaomi a1 android one phon,https://twitter.com/heyinayak/status/923361103589138432,Xiaomi
923262179050250241,2017-10-25 20:57,hifi stereo earphones bluetooth headphone music headset fm support sd card mic mobile xiaomi phone… http  wwwwonderstoxcomproducthifistereoearphonesbluetoothheadphonemusicheadsetfmandsupportsdcardwithmicformobilexiaomiphonesamsungtablet …,https://twitter.com/wonderstox/status/923262179050250241,Xiaomi
923250179548971010,2017-10-25 20:09,congratulations team xiaomi keep growing keep making phones great value money wish win mi a1  manukumarjainpictwittercomyoo1ny436i,https://twitter.com/hadavlevikas/status/923250179548971010,Xiaomi
923231541064552448,2017-10-25 18:55,lg  looked latest huawei xiaomi phones  extremely sleek looking great specs ,https://twitter.com/i_am_angel10/status/923231541064552448,Xiaomi
923174070245609472,2017-10-25 15:07, androidauth lookin budget phones  ca nt decide xiaomi mi note 2 moto g5s plus  make final decision please ,https://twitter.com/CosmoYamon/status/923174070245609472,Xiaomi
923164648077012992,2017-10-25 14:29,conversation said  oh god  dad got iphone  xiaomi  iphone    leave love phone pictwittercom0t7kf33ph4,https://twitter.com/riotIive/status/923164648077012992,Xiaomi
922989412493025280,2017-10-25 02:53,freemaz  jio phone explosion  whatsapp group calls  xiaomi redmi note 5   360 daily http  ifttt2h3pvjv  mobile  tech  n…,https://twitter.com/JenkinAnthony/status/922989412493025280,Xiaomi
922987599274356738,2017-10-25 02:46,jio phone explosion  whatsapp group calls  xiaomi redmi note 5   360 daily http  ifttt2h3pvjv  mobile  tech  new,https://twitter.com/freemaz/status/922987599274356738,Xiaomi
922947532669403136,2017-10-25 00:06, mkbhd reviews midrange phones flagship phones xiaomi huawei  everyone afford apple  samsung  flagships  p,https://twitter.com/hjred21/status/922947532669403136,Xiaomi
