username;date;text;hashtags;id;permalink,,,,,,,,,,,,
";2017-12-30 07:56;""Upgrade howWith... AjaxCT black with race car red lining . CTC just blue hatchback with a squiggly line. AjaxCT fresh cut and close shave. CTC stubble and ya... AjaxCT latest Huawei phone. CTC what time is it? AjaxCT Hennessey poster. CTC nice white chairs. https://twitter.com/kwetsa_89/status/946989603776532480 �?;;""946998317539610624"";https://twitter.com/marlonthuynsma_/status/946998317539610624",,,,,,,,,,,,
";2017-12-30 07:41;""Hi Gezzi"," please note that all the Huawei G and Y range ends with the android version that the phone came with."";;""946994701256790016"";https://twitter.com/HuaweiZA/status/946994701256790016",,,,,,,,,,,
";2017-12-30 07:17;""Feels great to have finally made a decision on a phone! Shout out to the great customer service at @ HuaweiMobile for helping me out. My new # Honor7X is ordered and on its wayyy!"";#;""946988690085236736"";https://twitter.com/DearUncleCreepy/status/946988690085236736",,,,,,,,,,,,
";2017-12-30 06:41;""People still buy it even its a scam. Just like MacBook. You let people choose between the MacBook and gaming laptop. Common people still choose apple products. Phones like Huawei will never be their choice when Huawei is the more cheap and powerful than iPhone."";;""946979505754685440"";https://twitter.com/Whereeveryouar/status/946979505754685440",,,,,,,,,,,,
";2017-12-30 06:25;""Like all my friends are using phones like iPhone", honor, vivo, huawei, oppo," Samsung and others but you are the one with the oldest models.."";;""946975404727844864"";https://twitter.com/SanaLuvTzuyu/status/946975404727844864",,,,,,,
";2017-12-30 03:41;""NEW ARRIVAL!! 8x Zoom Optical Phone Telescope Portable Mobile Phone Telephoto Camera Lens and Clip for iPhone Samsung HTC Huawei LG Sony Etc WORLDWIDE FREE SHIPPING on http://pamedy.com >>>>>> https://goo.gl/Vyzcei pic.twitter.com/m4LhP0aVuV"";;""946934334526812160"";https://twitter.com/www_pamedy_com/status/946934334526812160",,,,,,,,,,,,
";2017-12-30 03:14;""Not just support for battery defects", but any kind of support really. Nexus 6P's a great phone (when it works)," but not dealing with that company and their lackluster customer service ever again if I can help it."";;""946927480455270401"";https://twitter.com/InfoWartz/status/946927480455270401",,,,,,,,,,
";2017-12-30 03:03;""@ HuaweiMobile just heard https://www.youtube.com/watch?v=6E2hYDIFDIU �?& I thought about replacing ""my way"" with ""HUAWEI"". Insert a snowy backdrop and some couples with phones. <3"";;""946924664911269889"";https://twitter.com/YugiOhNOLOL/status/946924664911269889",,,,,,,,,,,,
";2017-12-30 02:06;""SOZ MAGS!!!! I was dropping my phone to get fixed and of course I can’t get the spare to bloody work"," pos Huawei android!!!! You look"";;""946910233204375553"";https://twitter.com/L_To/status/946910233204375553",,,,,,,,,,,
";2017-12-30 01:11;""@ Huawei My Nexus 6P is stuck in a bootloop and I don't have another phone to call you. Would like some assistance"";;""946896503687319557"";https://twitter.com/ChesterONeill/status/946896503687319557",,,,,,,,,,,,
";2017-12-30 00:59;""Great Deals for Today: Huawei 6s International Version 4g Smartphone. Details: Tip: The ROM on this Phone supports OTA and is multi language. Unlocked for Worldwide use. Please en.. # Christmas # ad [https://www.gearbest.com/cell-phones/pp_1270801.html?wid=4&lkid=12493467 …]pic.twitter.com/fTgssmBN6T"";# #;""946893549257314305"";https://twitter.com/Climate_ch/status/946893549257314305",,,,,,,,,,,,
";2017-12-30 00:30;""HUAWEI MediaPad T3 LTE (Firmware", Root," making\receiving phone calls) | Android Development and Hacking https://forum.xda-developers.com/huawei-mediapad/development/huawei-mediapad-t3-lte-firmware-root-t3675705/page1 �?;;""946886217718624256"";https://twitter.com/maximowiczii/status/946886217718624256",,,,,,,,,,
";2017-12-29 23:35;""It's done Adz! Actually haven't even gone with Samsung. Gone with the new Huawei Mate10 Pro. It's an incredible phone thus far. Got sick of poor battery life and expensive contacts for ipgones."";;""946872394387546113"";https://twitter.com/dobsonnpl/status/946872394387546113",,,,,,,,,,,,
";2017-12-29 23:10;""https://uk.m.webuy.com/hi could you tell me if you have the huawei mate 10 pro in your redcar store as i have checked and it says only 2 available but brings up 4 stores altogether i just want to make sure before travelling it is an a grade phone on vodafone"";;""946866069804847104"";https://twitter.com/blandy1973/status/946866069804847104",,,,,,,,,,,,
";2017-12-29 23:08;""Well on my PC I'm running Win10 Home and on my phone (Huawei P9) Android Nougat which has the Huawei stock EMUI 5.0 skin on. On both devices I've downloaded the latest Spotify version from your website."";;""946865532183220225"";https://twitter.com/alan_oper/status/946865532183220225",,,,,,,,,,,,
";2017-12-29 22:52;""Reports indicate that US carriers are finally opening up to Chinese smartphones. This is good news for consumers because @ Huawei and other Chinese vendors are offering great premium and mid-range phones at great prices. https://www.theverge.com/circuitbreaker/2017/12/27/16823224/huawei-mate-10-att-date-flagship-phone-sales-2018 �?;;""946861502459285504"";https://twitter.com/TekStrategist/status/946861502459285504",,,,,,,,,,,,
";2017-12-29 21:16;""Yea that’s the thing that got me was no outside app. I used my iPhone 6 and this Huawei brand phone and they both worked. I just really wanna see if it’ll help me convert fans quicker. It’s annoying after shows trying to swap info. This way they can go straight to my website."";;""946837342618292224"";https://twitter.com/shanice_whitney/status/946837342618292224",,,,,,,,,,,,
